38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,
38,38,38,38,38,38,38,38,38,65,65,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,65,65,65,65,38,38,38,38,38,38,38,38,38,38,
38,38,38,38,38,38,38,38,65,65,65,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,65,65,65,65,38,38,38,38,38,38,38,38,38,38,
38,38,38,38,38,38,65,65,65,65,65,38,38,38,38,38,38,38,38,38,38,38,65,65,65,65,65,65,65,65,65,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,65,65,65,65,65,65,65,65,65,65,65,38,38,38,38,38,38,38,38,38,38,
38,38,38,38,38,38,65,65,65,65,38,38,38,38,38,38,38,38,38,38,65,65,65,6,6,6,6,6,65,65,65,65,65,65,65,65,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,65,65,65,65,65,65,65,65,65,65,65,65,65,38,38,38,38,38,38,38,38,
38,38,38,38,38,38,65,65,65,65,38,38,38,38,38,38,65,65,65,65,6,6,6,6,6,6,6,6,6,6,6,65,65,65,65,65,65,65,38,38,38,38,38,65,65,65,38,38,38,38,38,38,38,38,38,38,38,65,65,65,6,6,6,6,6,65,65,65,65,38,38,65,65,65,38,38,38,38,38,38,
38,38,38,38,38,65,65,65,65,65,38,38,38,38,65,65,65,65,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,65,65,65,65,65,38,38,38,65,65,65,38,38,38,38,38,38,38,38,38,38,38,65,65,6,6,6,6,6,6,6,6,6,6,38,38,65,65,65,65,38,38,38,38,38,
38,38,38,65,65,65,65,65,38,38,38,38,38,38,65,6,6,6,6,6,6,6,38,38,38,38,30,26,38,38,38,6,6,6,6,65,65,65,65,65,65,65,65,65,6,65,38,38,38,38,38,38,38,38,38,38,65,65,65,6,6,6,6,6,6,6,6,6,6,38,38,65,65,65,65,38,38,38,38,38,
